Designator,Mid X,Mid Y,Layer,Rotation
C1,73.6600,-105.4100,top,180.0000 
C2,86.3600,-100.9650,top,-90.0000 
C3,82.5500,-94.6150,top,-90.0000 
C4,90.8050,-100.3300,top,0.0000 
C5,109.2200,-95.2500,top,0.0000 
C6,80.6450,-72.3900,top,90.0000 
C7,102.8700,-100.9650,top,-90.0000 
C8,99.0600,-94.7825,top,-90.0000 
C9,107.8825,-100.3300,top,0.0000 
C10,92.7100,-95.2500,top,0.0000 
C11,100.9650,-72.3900,top,90.0000 
IC1,87.6300,-95.9000,top,0.0000 
IC2,104.1400,-95.8850,top,0.0000 
R1,71.6280,-112.3950,top,0.0000 
R2,86.9950,-89.6620,top,180.0000 
R3,86.9950,-92.0750,top,0.0000 
R4,90.8050,-102.8700,top,0.0000 
R5,85.7250,-74.3325,top,90.0000 
R6,85.7250,-70.4850,top,-90.0000 
R7,86.3600,-112.3950,top,0.0000 
R8,103.5050,-89.6620,top,180.0000 
R9,103.4675,-92.0750,top,0.0000 
R10,107.9500,-102.8700,top,0.0000 
R11,106.0450,-74.3325,top,90.0000 
R12,106.0450,-70.4850,top,-90.0000 
R13,100.3300,-118.1100,top,180.0000 
